Preço,DY,P/L,P/VP,EV/EBIT,ROE,ROIC,ROA,LPA,Margem Líquida
"VSPT3
arrow_forward","R$ 5,00","0,00%",,,"0,00","-1,28","0,02","0,44","0,15"
"VSPT4
arrow_forward","R$ 0,00","0,00%",,,"0,00","0,00","0,00","0,00","0,00"
"VSTE3
arrow_forward","R$ 7,58","0,00%",,,"0,63","-531,77","5,28","0,84","0,53"
"VTRU3
arrow_forward","R$ 7,08","0,00%",,,"0,00","0,00","0,00","0,00","0,00"
"VULC3
arrow_forward","R$ 15,83","0,00%",,,"19,11","7,97","-2,35","2,12","1,43"
"VVEO3
arrow_forward","R$ 1,89","0,00%",,,"7,22","-9,97","0,07","0,20","0,06"
"WEGE3
arrow_forward","R$ 53,57","0,00%",,,"1,40","36,90","2,09","11,40","6,19"
"WEST3
arrow_forward","R$ 0,60","0,00%",,,"0,00","-1,66","0,05","0,29","0,21"
"WHRL3
arrow_forward","R$ 4,14","0,00%",,,"13,10","11,05","0,19","2,49","0,65"
"WHRL4
arrow_forward","R$ 4,30","0,00%",,,"13,88","11,48","0,20","2,58","0,68"
"WIZC3
arrow_forward","R$ 5,68","0,00%",,,"4,34","5,05","0,06","1,52","0,36"
"WLMM3
arrow_forward","R$ 27,00","0,00%",,,"3,90","7,05","0,22","1,33","0,91"
"WLMM4
arrow_forward","R$ 29,02","0,00%",,,"3,99","7,58","0,24","1,43","0,98"
"YDUQ3
arrow_forward","R$ 9,08","0,00%",,,"3,01","12,76","1,35","0,82","0,28"
"ZAMP3
arrow_forward","R$ 2,83","0,00%",,,"0,00","-12,60","0,61","0,92","0,27"
